Verfahrensgruppe,Arbeitsvorgang,Maschinenkombination,Schlaggrö?e [ha],Bodenbearbeitungswiderstand,Entfernung zum Schlag [km],Menge [-/ha],Arbeitsbreite [m],Teilarbeit,Arbeitszeitbedarf (Akh/ha),Flächenleistung (ha/h),Maschinenkosten: Abschreibung (??,Maschinenkosten: Zinskosten (??,Maschinenkosten: Sonstiges (??,Maschinenkosten: Reparaturen (??,Maschinenkosten: Betriebsstoffe (??,Dieselbedarf (l/ha)
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,30.21,26.27
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.6,Transport,0.78,0,2.29,0.53,0.36,0.83,3.71,3.23
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.6,,2.76,,119.02,32.05,10.99,34.53,33.92,29.5
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,30.23,26.29
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.7,Transport,0.78,0,2.29,0.53,0.36,0.82,3.7,3.22
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.7,,2.76,,118.95,32.03,10.98,34.5,33.93,29.51
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,30.26,26.31
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.9,Transport,0.78,0,2.27,0.53,0.36,0.81,3.69,3.21
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.9,,2.76,,118.78,31.99,10.97,34.45,33.95,29.52
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,32.3,28.09
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.6,Transport,0.78,0,5.25,1.31,0.8,3.56,4.82,4.19
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.6,,2.76,,121.98,32.83,11.43,37.26,37.12,32.28
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,32.33,28.11
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.7,Transport,0.78,0,5.25,1.31,0.8,3.55,4.81,4.18
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.7,,2.76,,121.91,32.81,11.42,37.23,37.14,32.29
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,32.37,28.15
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.9,Transport,0.78,0,5.23,1.31,0.8,3.54,4.8,4.17
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.9,,2.76,,121.74,32.77,11.41,37.18,37.17,32.32
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,33.11,28.79
