Zulassungsnr,GHS
006776-00,N/A
00A289-00,"Enthält 1,2-Benzisothiazol-3(2H)-on. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
007712-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
033141-62,N/A
00A913-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
006840-00,N/A
006840-60,N/A
027517-62,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
028972-60,"Enthält 1,3,5-Triazin-1,3,5 (2H,4H,6H)-triethanol. Kann allergische Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
033317-00,N/A
007839-61,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
007839-00,Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
053884-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Enthält tiefkaltes Gas; kann Kälteverbrennungen oder -Verletzungen verursachen."
033884-00,N/A
060122-70,"Enthält 2,4-D. Kann allergische Reaktionen hervorrufen.
Enthält Methylenharnstoff. Kann allergische Reaktionen hervorrufen..
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten."
007824-00,"Enthält Diphenylmethandiisocyanat. Kann allergische Reaktionen hervorrufen.
Enthält Poly-[methylen-(polyphenylisocyanat)]. Kann allergische
Reaktionen hervorrufen.
Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
00B100-00,"Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
Sehr giftig für Wasserorganismen mit langfristiger Wirkung."
