"","Wirkstoff_Main","Normalized_Wirkstoff"
"1","Prothioconazol","Prothioconazole"
"2","Metsulfuron","Metsulfuron"
"3","Thifensulfuron","Thifensulfuron"
"4","Chlorantraniliprole","Chlorantraniliprole"
"5","Quizalofop-P","Quizalofop-P-ethyl"
"6","Aclonifen","Aclonifen"
"7","Diflufenican","Diflufenican"
"8","Flufenacet","Flufenacet"
"9","Schwefel","Sulphur"
"10","Pyrethrine","Pyrethrine"
"11","Fludioxonil","Fludioxonil"
"12","Pendimethalin","Pendimethalin"
"13","Chlormequat","Chlormequat"
"14","Isoxaflutole","Isoxaflutole"
"15","Thiencarbazone","Thiencarbazone"
"16","Tribenuron","Tribenuron"
"17","Trinexapac","Trinexapac-ethyl"
"18","Flonicamid","Flonicamid"
"19","Folpet","Folpet"
"20","Cymoxanil","Cymoxanil"
"21","Fosetyl","Fosetyl"
"22","Azoxystrobin","Azoxystrobin"
"23","Propaquizafop","Propaquizafop"
"24","Clopyralid","Clopyralid"
"25","Fluroxypyr","Fluroxypyr"
"26","Florasulam","Florasulam"
"27","Eisen-III-phosphat","Ferric phosphate"
"28","Kupferoxychlorid","Copper oxychloride"
"29","Kupferhydroxid","Copper (II) hydroxide"
"30","Bromuconazol","Bromuconazole"
"31","Dithianon","Dithianon"
"32","Tetraconazole","Tetraconazole"
"33","Kaliumphosphonat (Kaliumphosphit)","Potassium phosphonates"
"34","Kohlendioxid","Carbon dioxide"
"35","2,4-D","2,4-D"
"36","Dicamba","Dicamba"
"37","Eisen-II-sulfat","Iron sulphate"
"38","Fluxapyroxad","Fluxapyroxad"
"39","Mefenpyr","Mefenpyr"
"40","Iodosulfuron","Iodosulfuron"
"41","Mesosulfuron","Mesosulfuron"
"42","Mefentrifluconazole","Mefentrifluconazole"
"43","Napropamid","Napropamide"
"44","Clomazone","Clomazone"
"45","MCPA","MCPA"
"46","Metconazol","Metconazole"
"47","Propamocarb","Propamocarb"
"48","Glyphosat","Glyphosate"
"49","Difenoconazol","Difenoconazole"
"50","Zoxamide","Zoxamide"
"51","Mandipropamid","Mandipropamid"
"52","Prosulfocarb","Prosulfocarb"
"53","Bacillus amyloliquefaciens subsp. plantarum Stamm D747 50.000.000.000.000cfu/kg","Bacillus amyloliquefaciens subsp. plantarum D747"
"54","1-Decanol","1-decanol"
"55","Bifenox","Bifenox"
"56","Buprofezin","Buprofezin"
"57","1-Methylcyclopropen","1-methylcyclopropene"
"58","Ampelomyces quisqualis Stamm AQ 10 5.000.000.000.000cfu/kg","Ampelomyces quisqualis Stamm AQ 10 5.000.000.000.000cfu/kg"
"59","Mepiquat","Mepiquat"
"60","Prohexadion","Prohexadione"
"61","Pyraclostrobin","Pyraclostrobin"
"62","Tebuconazol","Tebuconazole"
"63","Orangenöl","Orange oil"
"64","Rimsulfuron","Rimsulfuron"
"65","Nicosulfuron","Nicosulfuron"
"66","Mesotrione","Mesotrione"
"67","Metaldehyd","Metaldehyde"
"68","Kaliumhydrogencarbonat","Potassium bicarbonate"
"69","Clethodim","Clethodim"
"70","Carfentrazone","Carfentrazone"
"71","Zinkphosphid","Zinc phosphide"
"72","Calciumcarbid","Calcium carbide"
"73","Fluopyram","Fluopyram"
"74","Bixafen","Bixafen"
"75","Acetamiprid","Acetamiprid"
"76","Propyzamid","Propyzamide"
"77","Amidosulfuron","Amidosulfuron"
"78","Propoxycarbazone","Propoxycarbazone"
"79","Natrium-o-nitrophenolat","Sodium o-nitrophenolate"
"80","Natrium-5-nitroguaiacolat","Sodium 5-nitroguaiacolate"
"81","Natrium-p-nitrophenolat","Sodium p-nitrophenolate"
"82","Paraffinöl (CAS 8042-47-5)","Paraffin oil (CAS No: 8042-47-5)"
"83","Isoxadifen","Isoxadifen"
"84","Tembotrione","Tembotrione"
"85","Cloquintocet","Cloquintocet-methyl"
"86","Pinoxaden","Pinoxaden"
"87","Pyroxsulam","Pyroxsulam"
"88","lambda-Cyhalothrin","Lambda-cyhalothrin"
"89","Azadirachtin","Azadirachtin"
"90","Cyazofamid","Cyazofamid"
"91","Pyrimethanil","Pyrimethanil"
