substance,crop,CAS,CLP,BCF,SCI.Grow,SoilDT50,Birds.Acute.LD50.mg.kg,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Earthworms.Acute.14d.LC50.mg.kg,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,BeesLD50,Fish.Acute.96hr.LC50.mg.l,Fish.Chronic.21d.NOEC.mg.l.corrected,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Aquatic.Plants.Acute.7d.EC50.mg.l,Algae.Acute.72hr.EC50.Growth.mg.l,water.phase.DT50.days
"1,4-dimethylnaphthalene",Potatoes,571-58-4,-,5751,Cannot be calculated,-,-,2730,-,-,-,0.67,0.09,0.54,0.16,0.15,0.62,-
1-decanol,Tobacco,112-30-1,"Health: H319Environment: H411, H412",-,Cannot be calculated,-,> 4640,> 5000,> 627.6,-,> 13.8,2.4,0.0064,1.8,0.51,6.96,1.57,-
1-methylcyclopropene,"Harvested fruit and vegetables especially apples; Ornamentals especially cutflowers, potted flowering plants, spring bedding, nursery andfoliage plants",3100-04-7,None allocated at this time,Low risk,1.34 X 10 e-01,15,> 81,> 5000,5.0,2.0,-,> 0.966,-,> 0.776,-,> 5.8,> 0.838,-
1-naphthylacetic acid,"Top fuit including apples, pears, plums, cherries; Potatoes",86-87-3,"Health: H302, H315, H318, H319. H335Environment: H412",Low risk,6.16 X 10 e-01,42,> 2510,> 1750,> 1000,-,> 120,> 56,10,> 56,> 22,5.09,18.05,7.0
"2,4-D","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",94-75-7,"Health: H302, H317, H318, H335Environment: H412",10,6.92 X 10 e-01,4.4,> 500,> 300,350,62.5,> 100,100,27.2,134.2,46.2,2.7,24.2,7.7
"2,5-dichlorobenzoic acid methyl ester",Grapevines,2905-69-3,"Health: H302, H336Environment: H411",-,Cannot be calculated,-,-,1030,-,-,-,14.4,-,-,-,-,-,-
8-hydroxyquinoline,Vines; Tomatoes; Hops,148-24-3,"Health: H360D, H301, H318, H317Environment: H400, H410",Low risk,5.35 X 10 e-03,0.88,459,177,> 408.6,> 417.3,> 100,1.96,> 0.0082,3.32,0.236,-,0.503,1.0
Acequinocyl,"Greenhouse crops; Ornamentals; Nursery crops; Fruits including strawberries, apples, pears, apricots, plums, grapes, citrus; Tree nuts; Pistachios",57960-19-7,"Health: H370, H317; H373Environment: H400, H410",366,5.35 X 10 e-03,2.0,> 1942,> 4855,> 1000,-,280,> 100,0.52,0.0039,0.00098,-,-,0.5
Acetamiprid,"Leafy Vegetables; Fruiting Vegetables; Fruit including citrus, apples, pears, grapes; Cotton; Ornamental Plants and Flowers",135410-20-7,Health: H302Environment: H412,Low risk,2.16 X 10 e-03,1.6,98,146,9,1.26,8.09,> 100,19.2,49.8,5,1,> 98.3,4.7
Aclonifen,Soybeans; Peanuts; Beans and peas: Rice,74070-46-5,"Health: H317, H351Environment: H400, H410",2896,7.54 X 10 e-03,117,> 2000,> 5000,150,45,> 100,0.67,0.005,1.2,0.016,0.006,0.47,4.2
Ametoctradin,"Potatoes; Tomates; Grapes; Curcubits; Lettuce; Cucumber; Vegetables including brassicas, leeks, onions, shallots",865318-97-4,Health: H302,219,1.02 X 10 e-02,1.8,> 2000,> 2000,> 1000,> 20.4,> 100,> 0.065,> 0.048,> 0.59,0.044,-,> 0.118,1.0
Amidosulfuron,"Cereals including wheat, barley, oats, triticale; Linseed; Flax; Grassland; Clover",120923-37-7,"Environment: H400, H410",4.85,1.95 X 10 e-01,14.4,> 2000,> 5000,> 1000,42.5,> 100,> 100,6.41,> 80,1.0,> 0.0092,> 100,56.9
Aminopyralid,Rangeland; Permanent grass; Non-cropped areas including paths; roadways,150114-71-9,"Health: H315, H318, H319, H335Environment: H400, H410",100,1.60 X 10 e-01,35,> 2250,> 5000,> 1000,-,> 6.26,> 100,1.3,> 100,100,88,30,250
Amisulbrom,Potatoes; Tomatoes; Grapes; Curcubits; Bell peppers,348635-87-0,"Health: H319, H351Environment: H400, H410",176,5.35 X 10 e-03,143,> 2000,> 5000,> 500,46.85,> 100,0.0515,0.037,0.037,0.0197,-,0.20,6.7
Azoxystrobin,"Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals",131860-33-8,"Health: H331Environment: H400, H410",Low risk,3.83 X 10 e-01,78,> 2000,> 5000,283,3.0,> 200,0.47,0.147,0.23,0.044,3.2,0.36,6.1
Beflubutamid,"Cereals including wheat, barley, rye, triticale",113614-08-7,"Human: H361d, Environment: H400, H410",140,2.40 X 10 e-02,60.1,> 2000,> 5000,366,< 2.5,> 100,1.86,0.11,1.64,0.455,0.005,0.0055,5.91
Benalaxyl-M,Tomatoes; Potatoes; Grapes,98243-83-5,Environment: H411,57,8.32 X 10 e-03,80,> 2000,> 2000,236,26,> 100,4.9,0.49,22.8,0.2,-,16.5,38
Benzoic acid,Equipment and machinery where incidental food contact may occur; Rooms and buildings where food is grown or stored],65-85-0,"Health: H315, H372, H318",3.16,8.02 X 10 e-05,0.5,-,> 2100,384,-,-,> 120,90.5,> 120,55,-,> 10,-
Benzovindiflupyr,"Cereals inc wheat, rye, barley, oats; Corn; Cucurbit and fruiting vegetables; Grapes; Peanuts; Pome fruit; Potatoes; Soybeans; Sugarcane",1072957-71-1,"Health: H301, H331Environment: H400, H410",123,1.82 X 10 e-02,908,1315,55.0,203.15,3.91,> 100,0.0035,0.00095,0.085,0.015,> 0.88,> 0.89,27.1
Bifenazate,Greenhouse crops; Nursery crops; Landscaped areas; Hops; Avocado; Curcubits; Apples & pears; Quince; Egg plants; Cucumbers; Water melon; Strawberries; Tomatoes,149877-41-8,"Health: H317. H319, H373Environment: H400, H410",83,3.61 X 10 e-03,0.69,1036,> 5000,> 429,9.75,8.50,0.58,0.017,0.5,0.15,-,0.3,0.45
Bifenox,"Cereals including wheat, barley, corn; Soybeans; Peanuts; Sugarbeet; Rice; Sorghum; OSR; Sunflowers",42576-02-3,Environment: H410,1500,6.83 X 10 e-03,6,> 2000,> 5000,> 500,> 2.55,> 200,0.67,0.009,0.66,0.00015,0.0021,0.00018,-
Bixafen,"Cereals including wheat, rye, triticale, barley, oats",581809-46-3,"Environment: H400, H410",695,2.05 X 10 e-02,500,> 2000,> 5000,> 1000,100,> 121.4,0.095,0.0046,1.2,0.05,-,0.097,26
Boscalid,"Vegetables including beans, brassicas, onions, garlic, shallots, peas, carrots, turnips; Soybeans; Fruits including grapes, apples, pears, strawberries; Tree nuts",188425-85-6,"Environment: H400, 410",107,2.14 X 10 e-01,484.4,> 2000,> 5000,> 500,1.197,> 200,2.7,0.125,5.33,1.3,> 3.9,3.75,5
Bromuconazole,"Cereals including barley, wheat; Fruit; Vegetables; Grapevines; Turf; Ornamentals",116255-48-2,"Health: H302, H361Environment: H400, H410",131,1.13 X 10 e-01,190,> 2150,328,> 500,18.6,> 500,1.7,0.21,> 8.9,0.02,0.12,> 3.3,1.7
Bupirimate,Apples; Pumpkins; Squash; Strawberry; Blackcurrant; Raspberry; Gooseberry; Hops; Courgette; Ornamentals,41483-43-6,"Health: H317, H351Environment: H410",185,2.27 X 10 e-02,79,> 10000,4000,> 500,7.3,> 50,1.0,0.3,> 3.41,0.56,-,1.6,6.2
Buprofezin,Citrus crops; Top fruit; Cucumbers; Tomatoes; Sweet potatoes; Rice; Cotton; Ornamentals,953030-84-7,"Health: H302, H373, H362, H351, H361dEnvironment: H400, H410",509,9.30 X 10 e-03,55.4,3776,> 1635,> 500,125,> 200,> 0.33,0.138,> 0.42,-,2.33,> 0.40,563.2
Calcium carbide,Rats; Mice,75-20-7,"Handling: H260Health: H315, H318, H335",-,Cannot be calculated,0.01,-,> 2000,-,-,-,> 50,-,4.62,-,-,12.4,-
Captan,"Fruit including apples, apricots, blueberries, blackberries, cherries, grapes, raspberries, nectarines, plums, peaches; Almonds; Grasses; Roses",133-06-2,"Health: H317, H318, H331, H351Environment: H400",140,2.59 X 10 e-03,0.8,> 2000,> 2000,> 259.7,6.1,> 200,0.186,0.18,7.1,0.56,12.7,1.18,0.6
Carbon dioxide,Stored cereal grains; Medicinal plants; Dried fruits,124-38-9,Health: H280,Low risk,Cannot be calculated,-,-,-,-,-,-,-,-,-,-,-,-,-
Carfentrazone,"Potatoes; Cereals including barley, oats, tritical, wheat and durum wheat; Sports turf & golf-coures",128621-72-7,"Environment: H400, H410",-,Cannot be calculated,-,> 2250,> 5000,> 410,17.72,> 200,> 99.2,-,> 101,-,0.27,0.787,-
Chlorantraniliprole,"Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",500008-45-7,"Health: H319, H335Environment: H400, H410",15,6.81 X 10 e-01,597,> 2250,> 5000,> 1000,350,> 4.0,> 1.09,0.11,0.0116,0.00447,> 2.0,> 4.0,23.5
Chlormequat,"Cereals including wheat, triticale, barley, rye; Ornamentals including geraniums, pelargoniums, poinsetta; vegetables including  tomatoes, cabbage, cauliflower, radish",7003-89-6,"Health: H302, H312",-,1.39 X 10 e-01,27.4,441,115,320,681,> 65.2,> 100,43.1,31.7,2.4,5.3,> 100,-
Clethodim,"Sugarbeet; Soybeans; Potatoes; Sunflowers; Alfalfa; Vegetables including beans & peas, asparagus, carrots, aubergine; Cotton; Fax; Peanuts; Fruit including melons, peaches; Herbs",99129-21-2,"Health: H302, H317, H373Environment: H412",3.5,2.50 X 10 e-03,0.54,> 1660,1133,27.0,-,> 199.2,25,3.9,> 100,49,3.78,35.1,7.0
Clodinafop,"Cereals including wheat, triticale and rye",114420-56-3,"Health: H302, H317, H373Environment: H400, H410",Low risk,2.14 X 10 e-01,12.35,1363,1392,197,-,40.9,> 76.0,4.1,> 10,0.16,4.5,2.0,-
Clomazone,"Cotton; Vegetables including peas, potatoes, sweet potatoes, green beans, navy beans; Curcubits; Tobacco; Rice; Oilseed rape",81777-89-1,"Health: H302, H312, H315, H319, H332Environment: H400, H410, H411, H412",40,2.80 X 10 e-01,26.8,> 2224,767.5,78,> 85.75,> 89.5,15.5,2.30,12.7,2.2,34.0,83.4,24.2
Clopyralid,"Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations",1702-17-6,Health: H318,1,4.30 X 10 e-02,23.2,1465,> 5000,> 1000,>= 1.97,> 98.1,> 99.9,10.8,> 99,17,89,30.5,148
