"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"007991-00","0302443","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes","H361f",300,1,70,0.233333333333333,0.0103767559394996,0.0014754537487446,0.245185543021578
"008692-00","1,4SIGHT","1,4-Dimethylnaphthalin","Wachstumsregler","Potatoes","H302,H304,H319",300,1,35,0.116666666666667,0.0457720859397183,2.76273529411765,2.92517404672403
"024645-63","3 Stunden Bio-Unkrautfrei","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.0202049764199947,0.0111865025337675,0.0813914789537622
"008468-60","3in1 Komplett-Rasendünger Gegen Unkraut & Moos","Fluroxypyr","Herbizid","Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards","H319",300,1,15,0.05,9.40191792372903e-05,7.25191685484335e-05,0.0501665383477857
"007938-00","A14203B","Mesotrione","Herbizid","Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb","H361d,H373",300,1,140,0.466666666666667,0.0476784206681722,0.0729945574215331,0.587339644756372
"00A657-63","Abran","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"026378-00","Accurate","Metsulfuron","Herbizid","Cereals; Land removed from production","H319",300,1,15,0.05,0.0193952052,0,0.0693952052
"006776-00","Accurate Extra","Metsulfuron","Herbizid","Cereals; Land removed from production",NA,300,1,0,0,0.0067873148,0,0.0067873148
"00A289-00","ACELEPRYN","Chlorantraniliprole","Insektizid","Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",NA,300,1,0,0,0.277675626767656,1.09437012061889,1.37204574738655
"007667-60","Achiba Max","Quizalofop-P","Herbizid","Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers","H304,H315,H318",300,1,90,0.3,0.0145826412592013,0.0186160781496025,0.333198719408804
"00A060-00","ACL+DFF+FFA SC 570","Aclonifen","Herbizid","Soybeans; Peanuts; Beans and peas: Rice","H317,H351",300,1,90,0.3,0.157528032294118,1.01686554497826,1.47439357727238
"033141-62","Aco.sol PY-Z","Pyrethrine","Insektizid",NA,NA,300,1,0,0,0,0,0
"007712-00","ACOIDAL WG","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses",NA,300,1,0,0,0.246014789108694,0.169493549255076,0.415508338363771
"00A913-00","ActiSeal F 60","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats",NA,300,1,0,0,0.130871264563802,1.11182142847352,1.24269269303732
"006839-00","ACTIVUS SC","Pendimethalin","Herbizid","Wheat & other small grain cereals; Corn; Soybeans; Maize; Fruit; Vegetables including beans & peas, carrots; Turf & lawns; Potatoes; Vineyards; Peanuts","H361d",300,1,70,0.233333333333333,0.113012407079199,1.51889475782856,1.86524049824109
"034046-63","Acucel","Chlormequat","Wachstumsregler","Cereals including wheat, triticale, barley, rye; Ornamentals including geraniums, pelargoniums, poinsetta; vegetables including  tomatoes, cabbage, cauliflower, radish","H302,H312",300,1,25,0.0833333333333333,0.188582476639586,0.250294221985738,0.522210031958657
"006366-61","Acupro","Metsulfuron","Herbizid","Cereals; Land removed from production","H315,H319",300,1,25,0.0833333333333333,0.0058205756,0,0.0891539089333333
"006840-00","ADDITION","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn",NA,300,1,0,0,0.0204356600985742,0.0545669520616275,0.0750026121602017
"026525-00","Adengo","Isoxaflutole","Herbizid","Maize; Sugar cane","H361d",300,1,70,0.233333333333333,0.031261249252133,0.00299267842668146,0.267587261012148
"028533-60","Adentis","Tribenuron","Herbizid","Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown","H317,H373",300,1,90,0.3,0.182571196233791,0.239940197403512,0.722511393637303
"00A775-00","ADM.09050.H.1.A","Trinexapac","Wachstumsregler","Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass","H315,H317,H319",300,1,45,0.15,0.0176329057843867,0.0129559593934359,0.180588865177823
"00A990-00","AFEPASA GREENHOUSE SULPHUR TABLETS","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","H315",300,1,10,0.0333333333333333,0.305980893953939,0.210807601886001,0.550121829173273
"025691-61","AFINTO","Flonicamid","Insektizid","Fruit including apples, pears, peaches, plums, melons, cherries; Cereals including wheat, barley, oats, rye, triticale; Potatoes; Cucumbers; Tomatoes; Aubergine; Various vegetables","H319",300,1,15,0.05,0.0402656218431888,0.00640030527117091,0.0966659271143597
"008595-00","AFRASA TRIPLE WG","Folpet","Fungizid","Fruits including apples, cherry, berries, wine grapes; Ornamentals including roses; Vegetables; Tomatoes; Cereals","H317,H319,H351,H361fd",300,1,175,0.583333333333333,0.235485525846459,0.0234308524167796,0.842249711596572
