Zulassungsnr,Code_Hinweis,Text_Hinweis
00A657-63,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A657-63,NB6644,"Die Anwendung in Mischung mit einem als nicht bienengefährlich eingestuften Insektizid aus der Gruppe der Pyrethroide ist auch während des Bienenfluges an blühenden Pflanzen und an Pflanzen, die von Bienen beflogen werden, erlaubt."
00A657-63,NB6645,"Das Mittel darf in Mischung mit einem als nicht bienengefährlich eingestuften Insektizid aus der Gruppe der Neonikotinoide an blühenden Pflanzen und an Pflanzen, die von Bienen be-flogen werden, angewendet werden, sofern dies ausweislich der Gebrauchsanleitung des Insektizids erlaubt ist."
00A657-63,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
026378-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
026378-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
026378-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006776-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006776-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
006776-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A289-00,N/A,N/A
007667-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007667-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A060-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007712-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
033141-62,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
033141-62,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
00A913-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A913-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A913-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006839-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006839-00,NN100,Das Mittel wird als nichtschädigend für Populationen relevanter Nutzarthropoden eingestuft.
034046-63,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
034046-63,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006366-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006366-61,NN100,Das Mittel wird als nichtschädigend für Populationen relevanter Nutzarthropoden eingestuft.
006840-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006840-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
026525-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
026525-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
028533-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
028533-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
028533-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A775-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A990-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A990-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A990-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
025691-61,N/A,N/A
008595-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008595-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A362-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A362-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
