Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria
00A657-63,Fungizid,Prothioconazol,250,g/l,,,,0
026378-00,Herbizid,Metsulfuron,192.6,g/kg,Methylester,200,g/kg,0
006776-00,Herbizid,Metsulfuron,67.4,g/kg,Methylester,70,g/kg,0
006776-00,Herbizid,Thifensulfuron,655.4,g/kg,Methylester,680,g/kg,0
00A289-00,Insektizid,Chlorantraniliprole,200,g/l,,,,0
007667-60,Herbizid,Quizalofop-P,92.5,g/l,Ethylester,100,g/l,0
00A060-00,Herbizid,Aclonifen,450,g/l,,,,0
00A060-00,Herbizid,Diflufenican,30,g/l,,,,0
00A060-00,Herbizid,Flufenacet,90,g/l,,,,0
007712-00,Fungizid,Schwefel,800,g/kg,,,,0
033141-62,Insektizid,Pyrethrine,4,g/l,,,,0
00A913-00,Fungizid,Fludioxonil,600,g/l,,,,0
006839-00,Herbizid,Pendimethalin,400,g/l,,,,0
034046-63,Wachstumsregler,Chlormequat,558.3,g/l,Chlorid,720,g/l,0
006366-61,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0
006366-61,Herbizid,Diflufenican,600,g/kg,,,,0
006840-00,Herbizid,Pendimethalin,400,g/l,,,,0
006840-00,Herbizid,Diflufenican,40,g/l,,,,0
026525-00,Herbizid,Isoxaflutole,225,g/l,,,,0
026525-00,Herbizid,Thiencarbazone,86.77,g/l,Methylester,90,g/l,0
028533-60,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0
00A775-00,Wachstumsregler,Trinexapac,155.6,g/l,Ethylester,175,g/l,0
00A990-00,Fungizid,Schwefel,995,g/kg,,,,0
025691-61,Insektizid,Flonicamid,500,g/kg,,,,0
008595-00,Fungizid,Folpet,250,g/kg,,,,0
008595-00,Fungizid,Cymoxanil,40,g/kg,,,,0
008595-00,Fungizid,Fosetyl,466.4,g/kg,Aluminium-Salz,500,g/kg,0
00A362-00,Fungizid,Azoxystrobin,250,g/l,,,,0
034107-00,Herbizid,Propaquizafop,100,g/l,,,,0
00A606-60,Herbizid,Clopyralid,80,g/l,,,,0
00A606-60,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0
00A606-60,Herbizid,Florasulam,2.5,g/l,,,,0
00B033-60,Herbizid,Propaquizafop,100,g/l,,,,0
006840-60,Herbizid,Pendimethalin,400,g/l,,,,0
006840-60,Herbizid,Diflufenican,40,g/l,,,,0
027517-62,Molluskizid,Eisen-III-phosphat,12.5,g/kg,Dihydrat,15.5,g/kg,0
007797-65,Wachstumsregler,Trinexapac,222.5,g/l,Ethylester,250,g/l,0
028972-60,Fungizid,Kupferoxychlorid,229.79,g/l,,,,0
028972-60,Fungizid,Kupferhydroxid,208.26,g/l,,,,0
00A145-61,Fungizid,Bromuconazol,300,g/l,,,,0
033317-00,Fungizid,Dithianon,250,g/kg,,,,0
033317-00,Fungizid,Cymoxanil,100,g/kg,,,,0
00A959-00,Insektizid,Flonicamid,500,g/kg,,,,0
004329-62,Fungizid,Tetraconazole,100,g/l,,,,0
008957-00,Fungizid,Dithianon,700,g/kg,,,,0
008595-60,Fungizid,Folpet,250,g/kg,,,,0
008595-60,Fungizid,Cymoxanil,40,g/kg,,,,0
008595-60,Fungizid,Fosetyl,466.4,g/kg,Aluminium-Salz,500,g/kg,0
007839-61,Fungizid,Kaliumphosphonat (Kaliumphosphit),342,g/l,,,,0
007839-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),342,g/l,,,,0
043099-00,Fungizid,Fosetyl,746,g/kg,Aluminium-Salz,800,g/kg,0
053884-00,"Akarizid, Insektizid",Kohlendioxid,999,g/kg,,,,0
033884-00,"Akarizid, Insektizid",Kohlendioxid,999,g/kg,,,,0
043099-65,Fungizid,Fosetyl,746,g/kg,Aluminium-Salz,800,g/kg,0
060122-70,Herbizid,"2,4-D",8,g/kg,,,,0
060122-70,Herbizid,Dicamba,1.2,g/kg,,,,0
008047-71,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
006366-00,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0
006366-00,Herbizid,Diflufenican,600,g/kg,,,,0
00A816-00,Fungizid,Fluxapyroxad,300,g/l,,,,0
008996-60,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0
