Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,FRAC.Group.Code,MOA,Comments
00A657-63,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
007712-00,Fungizid,Schwefel,800,g/kg,"",,"",0,,,
00A913-00,Fungizid,Fludioxonil,600,g/l,"",,"",0,12,Signal transduction,"Resistance found sporadically, mechanism speculative. Low to medium risk. Resistance management required."
00A990-00,Fungizid,Schwefel,995,g/kg,"",,"",0,,,
008595-00,Fungizid,Folpet,250,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008595-00,Fungizid,Cymoxanil,40,g/kg,"",,"",0,27,Unknown mode of action,Resistance claims described. Low to medium risk. Resistance management required.
008595-00,Fungizid,Fosetyl,466.4,g/kg,Aluminium-Salz,500,g/kg,0,P07,Host plant defence induction,Few resistance cases reported in few pathogens. Low risk. Reclassified from U33 in 2018.
00A362-00,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
028972-60,Fungizid,Kupferoxychlorid,229.79,g/l,"",,"",0,,,
028972-60,Fungizid,Kupferhydroxid,208.26,g/l,"",,"",0,,,
00A145-61,Fungizid,Bromuconazol,300,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
033317-00,Fungizid,Dithianon,250,g/kg,"",,"",0,M09,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
033317-00,Fungizid,Cymoxanil,100,g/kg,"",,"",0,27,Unknown mode of action,Resistance claims described. Low to medium risk. Resistance management required.
004329-62,Fungizid,Tetraconazole,100,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008957-00,Fungizid,Dithianon,700,g/kg,"",,"",0,M09,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008595-60,Fungizid,Folpet,250,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008595-60,Fungizid,Cymoxanil,40,g/kg,"",,"",0,27,Unknown mode of action,Resistance claims described. Low to medium risk. Resistance management required.
008595-60,Fungizid,Fosetyl,466.4,g/kg,Aluminium-Salz,500,g/kg,0,P07,Host plant defence induction,Few resistance cases reported in few pathogens. Low risk. Reclassified from U33 in 2018.
007839-61,Fungizid,Kaliumphosphonat (Kaliumphosphit),342,g/l,"",,"",0,,,
