Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
026378-00,Herbizid,Metsulfuron,192.6,g/kg,Methylester,200,g/kg,0,2
006776-00,Herbizid,Metsulfuron,67.4,g/kg,Methylester,70,g/kg,0,2
006776-00,Herbizid,Thifensulfuron,655.4,g/kg,Methylester,680,g/kg,0,2
007667-60,Herbizid,Quizalofop-P,92.5,g/l,Ethylester,100,g/l,0,1
00A060-00,Herbizid,Aclonifen,450,g/l,"",,"",0,32
00A060-00,Herbizid,Diflufenican,30,g/l,"",,"",0,12
00A060-00,Herbizid,Flufenacet,90,g/l,"",,"",0,15
006839-00,Herbizid,Pendimethalin,400,g/l,"",,"",0,3
006366-61,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0,2
006366-61,Herbizid,Diflufenican,600,g/kg,"",,"",0,12
006840-00,Herbizid,Pendimethalin,400,g/l,"",,"",0,3
006840-00,Herbizid,Diflufenican,40,g/l,"",,"",0,12
026525-00,Herbizid,Isoxaflutole,225,g/l,"",,"",0,27
026525-00,Herbizid,Thiencarbazone,86.77,g/l,Methylester,90,g/l,0,2
028533-60,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
034107-00,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
00A606-60,Herbizid,Clopyralid,80,g/l,"",,"",0,4
00A606-60,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A606-60,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
00B033-60,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
006840-60,Herbizid,Pendimethalin,400,g/l,"",,"",0,3
006840-60,Herbizid,Diflufenican,40,g/l,"",,"",0,12
060122-70,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-70,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008047-71,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
006366-00,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0,2
006366-00,Herbizid,Diflufenican,600,g/kg,"",,"",0,12
008996-60,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0,
008996-60,Herbizid,Iodosulfuron,5.6,g/kg,Methylester-Na,6,g/kg,0,2
008996-60,Herbizid,Mesosulfuron,29.2,g/kg,Methylester,30,g/kg,0,2
007824-00,Herbizid,Napropamid,400,g/kg,"",,"",0,
007824-00,Herbizid,Clomazone,35,g/kg,"",,"",0,13
00B100-00,Herbizid,Mefenpyr,102,g/kg,Diethylester,120,g/kg,0,
00B100-00,Herbizid,Mesosulfuron,58.3,g/kg,Methylester,60,g/kg,0,2
006396-60,Herbizid,MCPA,200,g/l,"",,"",0,4
006396-60,Herbizid,Clopyralid,20,g/l,"",,"",0,4
006396-60,Herbizid,Fluroxypyr,40,g/l,1-Methyl-heptylester,57.64,g/l,0,4
006281-62,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.6,g/l,0,9
00A164-60,Herbizid,Glyphosat,360,g/l,Kalium-Salz,441,g/l,0,9
00A956-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
008532-00,Herbizid,Clomazone,360,g/l,"",,"",0,13
007818-00,Herbizid,Bifenox,480,g/l,"",,"",0,14
007818-00,Herbizid,Florasulam,5,g/l,"",,"",0,2
00A540-00,Herbizid,Eisen-II-sulfat,81.61,g/kg,Monohydrat,91.27,g/kg,0,
026173-63,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0,9
060122-96,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-96,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008286-60,Herbizid,Diflufenican,200,g/l,"",,"",0,12
008286-60,Herbizid,Flufenacet,400,g/l,"",,"",0,15
006218-00,Herbizid,Clopyralid,80,g/l,"",,"",0,4
006218-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144.1,g/l,0,4
006218-00,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
027526-00,Herbizid,Rimsulfuron,30,g/kg,"",,"",0,2
027526-00,Herbizid,Nicosulfuron,120,g/kg,"",,"",0,2
027526-00,Herbizid,Mesotrione,360,g/kg,"",,"",0,27
008286-00,Herbizid,Diflufenican,200,g/l,"",,"",0,12
008286-00,Herbizid,Flufenacet,400,g/l,"",,"",0,15
00B059-00,Herbizid,Clethodim,240,g/l,"",,"",0,1
008450-60,Herbizid,MCPA,233,g/l,Kalium-Salz,277.3,g/l,0,4
