Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,MOA No.
00A289-00,Insektizid,Chlorantraniliprole,200,g/l,"",,"",0,28
033141-62,Insektizid,Pyrethrine,4,g/l,"",,"",0,3A
025691-61,Insektizid,Flonicamid,500,g/kg,"",,"",0,29
00A959-00,Insektizid,Flonicamid,500,g/kg,"",,"",0,29
00A519-00,Insektizid,Buprofezin,250,g/l,"",,"",0,16
00B269-00,Insektizid,Acetamiprid,200,g/kg,"",,"",0,4A
007028-00,Insektizid,lambda-Cyhalothrin,0.75,g/l,"",,"",0,3A
007029-00,Insektizid,lambda-Cyhalothrin,0.016,g/l,"",,"",0,3A
00B164-00,Insektizid,Azadirachtin,10,g/l,"",,"",0,UN
024080-60,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,"",,"",1,11A
00A494-00,Insektizid,Piperonylbutoxid,50.7,g/l,"",,"",0,
00A494-00,Insektizid,Deltamethrin,6,g/l,"",,"",0,3A
024785-69,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-69,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-63,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-63,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-67,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-67,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024436-63,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
006788-00,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
024785-74,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-74,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-72,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-72,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
006788-62,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
024436-67,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-66,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
006788-63,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
024785-73,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-73,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
006788-61,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
00A175-00,Insektizid,Cyantraniliprole,100,g/l,"",,"",0,28
007028-60,Insektizid,lambda-Cyhalothrin,0.75,g/l,"",,"",0,3A
007029-60,Insektizid,lambda-Cyhalothrin,0.016,g/l,"",,"",0,3A
024780-72,Insektizid,Pyrethrine,4.59,g/l,"",,"",0,3A
024780-72,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
024785-78,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-78,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024436-75,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-81,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
006387-61,Insektizid,lambda-Cyhalothrin,50,g/kg,"",,"",0,3A
005686-61,Insektizid,Acetamiprid,5,g/l,"",,"",0,4A
00A742-00,Insektizid,Acetamiprid,200,g/l,"",,"",0,4A
00B072-00,Insektizid,Acetamiprid,200,g/l,"",,"",0,4A
007135-00,Insektizid,Cydia pomonella Granulovirus mexikanisches Isolat 10.000.000.000.000Granula je l,0.12,g/l,"",,"",0,31
007748-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-R5 10.000.000.000.000Granula je l,0.12,g/l,"",,"",0,31
00B112-00,Insektizid,Cydia pomonella Granulovirus mexikanisches Isolat 10.000.000.000.000Granula je l,312.5,g/l,"",,"",0,31
00B113-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-R5 8.000.000.000.000Granula je l,312.5,g/l,"",,"",0,
024436-74,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
006387-64,Insektizid,lambda-Cyhalothrin,50,g/kg,"",,"",0,3A
00B253-00,Insektizid,Spinosad,480,g/l,"",,"",0,5
006401-00,Insektizid,lambda-Cyhalothrin,50,g/l,"",,"",0,3A
008447-00,Insektizid,Sulfoxaflor,120,g/l,"",,"",0,4C
008628-00,Insektizid,Rapsöl,848.24,g/l,"",,"",0,
008629-00,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
024436-65,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
008628-61,Insektizid,Rapsöl,848.24,g/l,"",,"",0,
008629-64,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
024436-76,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
008629-62,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
007474-60,Insektizid,Orangenöl,60,g/l,"",,"",0,
008629-65,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
008628-60,Insektizid,Rapsöl,848.24,g/l,"",,"",0,
008629-60,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
008629-61,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
008629-63,Insektizid,Rapsöl,15.27,g/l,"",,"",0,
024780-64,Insektizid,Pyrethrine,4.59,g/l,"",,"",0,3A
024780-64,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
024785-79,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-79,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024436-87,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
007029-61,Insektizid,lambda-Cyhalothrin,0.016,g/l,"",,"",0,3A
026336-00,Insektizid,Chlorantraniliprole,200,g/l,"",,"",0,28
00B125-00,Insektizid,Chlorantraniliprole,200,g/l,"",,"",0,28
006401-60,Insektizid,lambda-Cyhalothrin,50,g/l,"",,"",0,3A
007213-62,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
007456-00,Insektizid,Cypermethrin,500,g/l,"",,"",0,3A
005655-60,Insektizid,Acetamiprid,200,g/kg,"",,"",0,4A
00B101-00,Insektizid,Deltamethrin,50,g/l,"",,"",0,3A
007418-00,Insektizid,Deltamethrin,100,g/l,"",,"",0,3A
006408-61,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
006423-61,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
006423-61,Insektizid,Piperonylbutoxid,68.67,g/kg,"",,"",0,
033944-00,Insektizid,Magnesiumphosphid,660,g/kg,"",,"",0,
042688-00,Insektizid,Magnesiumphosphid,560,g/kg,"",,"",0,
042688-60,Insektizid,Magnesiumphosphid,560,g/kg,"",,"",0,
050783-61,Insektizid,Aluminiumphosphid,560,g/kg,"",,"",0,
006788-68,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
006788-66,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
006788-67,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
008485-60,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
052569-00,Insektizid,Aluminiumphosphid,560,g/kg,"",,"",0,
050783-60,Insektizid,Aluminiumphosphid,560,g/kg,"",,"",0,
033944-60,Insektizid,Magnesiumphosphid,660,g/kg,"",,"",0,
00A304-00,Insektizid,Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) 11.700.000.000.000cfu/kg,540,g/kg,"",,"",1,11A
024080-00,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,"",,"",1,11A
024785-68,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-68,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
00A156-00,Insektizid,Maltodextrin,573.89,g/l,"",,"",0,
00A541-00,Insektizid,Maltodextrin,433.2,g/l,"",,"",0,
008986-00,Insektizid,lambda-Cyhalothrin,4,g/kg,"",,"",0,3A
024436-77,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
006788-64,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
024218-60,Insektizid,tau-Fluvalinat,240,g/l,"",,"",0,3A
00A670-00,Insektizid,Cyantraniliprole,100,g/l,"",,"",0,28
00B237-00,Insektizid,Tefluthrin,200,g/l,"",,"",0,3A
024426-60,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
00A173-00,Insektizid,Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) 16.700IU/mg,206.53,g/l,"",,"",1,11A
034006-00,Insektizid,Tefluthrin,200,g/l,"",,"",0,3A
024511-00,Insektizid,Phosphan (Phosphorwasserstoff),20.6,g/kg,"",,"",0,
052569-63,Insektizid,Aluminiumphosphid,560,g/kg,"",,"",0,
007874-00,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
00B237-60,Insektizid,Tefluthrin,200,g/l,"",,"",0,3A
008500-00,Insektizid,Bacillus thuringiensis subsp. israelensis (Serotyp H-14) AM65-52 5.600.000.000.000cfu/l,123,g/l,"",,"",1,11A
008402-00,Insektizid,Piperonylbutoxid,213,g/l,"",,"",0,
008402-00,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
00B168-00,Insektizid,Pyriproxyfen,100,g/l,"",,"",0,7C
024780-67,Insektizid,Pyrethrine,4.59,g/l,"",,"",0,3A
024780-67,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
