"Active Ingredient","MOA 
No."
"Bioallethrin S-cyclopentenyl 
isomer","3A"
"Bioresmethrin","3A"
"Bistrifluron","15"
"Borax","8D"
"Boric acid","8D"
"Broflanilide","30"
"Bromopropylate","UN"
"Buprofezin","16"
"Burkholderia spp,","UNB"
"Butocarboxim","1A"
"Butoxycarboxim","1A"
"Cadusafos","1B"
"Calcium cyanide","24B"
"Calcium phosphide","24A"
"Carbaryl","1A"
"Carbofuran","1A"
"Carbosulfan","1A"
"Cartap hydrochloride","14"
"Chenopodium ambrosioides 
near ambrosioides extract","UNE"
"Chinomethionat","UN"
