Handelsbezeichnung,Gebinde,Grundpreis,Gebindepreis
1.4 Sight,10 Liter,"(230,00 €* / 1 Liter)","2.300,00 €*"
Access,10 Liter,"(4,70 €* / 1 Liter)","47,00 €*"
Accurate,0.1 Kilogramm,"(290,00 €* / 1 Kilogramm)","29,00 €*"
Activus SC,10 Liter,"(18,50 €* / 1 Liter)","185,00 €*"
Adengo,N/A,N/A,"137,00 €*"
Adhäsit,10 Liter,"(13,70 €* / 1 Liter)","137,00 €*"
AFINTO,0.5 Kilogramm,"(230,00 €* / 1 Kilogramm)","115,00 €*"
AGIL-S,5 Liter,"(24,20 €* / 1 Liter)","121,00 €*"
Agro-Quick (5l),5 Liter,"(10,60 €* / 1 Liter)","53,00 €*"
Agroclean (1kg),N/A,N/A,"55,00 €*"
Aliette WG,6 Kilogramm,"(16,17 €* / 1 Kilogramm)","97,00 €*"
Alkir,N/A,N/A,"39,00 €*"
All Clear Extra,5 Liter,"(14,40 €* / 1 Liter)","72,00 €*"
Alliance,0.25 Kilogramm,"(240,00 €* / 1 Kilogramm)","60,00 €*"
Allstar,5 Liter,"(132,00 €* / 1 Liter)","660,00 €*"
Amistar Gold (5l),5 Liter,"(24,80 €* / 1 Liter)","124,00 €*"
Amistar Max,5 Liter,"(15,80 €* / 1 Liter)","79,00 €*"
Angelus,N/A,N/A,"47,00 €*"
Argos,20 Liter,"(23,60 €* / 1 Liter)","472,00 €*"
Arigo,N/A,N/A,"175,00 €*"
Arinex 30,20 Kilogramm,"(3,95 €* / 1 Kilogramm)","79,00 €*"
Artus,0.25 Kilogramm,"(604,00 €* / 1 Kilogramm)","151,00 €*"
Ascra Xpro,5 Liter,"(45,40 €* / 1 Liter)","227,00 €*"
Askon (5l),5 Liter,"(56,80 €* / 1 Liter)","284,00 €*"
ATAPHOS-K,10 Liter,"(8,90 €* / 1 Liter)","89,00 €*"
Atlantis Flex + Biopower,N/A,N/A,"300,00 €*"
Attracap,15 Kilogramm,"(15,27 €* / 1 Kilogramm)","229,00 €*"
Attribut,0.3 Kilogramm,"(526,67 €* / 1 Kilogramm)","158,00 €*"
Aurora,0.1 Kilogramm,"(410,00 €* / 1 Kilogramm)","41,00 €*"
AVASTEL Pack,N/A,N/A,"377,00 €*"
Avoxa,5 Liter,"(32,20 €* / 1 Liter)","161,00 €*"
