Handelsbezeichnung,Gebinde,Grundpreis,Gebinde_info
Access 10 l Kanister,10 l,"Grundpreis: 
                    6,18 €
                        /
                        L","61,80 €
                    / Kanister"
ADAMA Activus SC 10 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA Agil-S,N/A,N/A,"ab 33,70 €
                    / Stück"
ADAMA Agro-Quick 5 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA Avastel 15 l VK-Set für den sicheren Schutz vor Pilzkrankheiten,N/A,N/A,Preis auf Anfrage
ADAMA Belvedere Duo 5 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA Brevis 1 kg Sack,1 kg,"Grundpreis: 
                    296,12 €
                        /
                        KG","296,12 €
                    / Stück"
ADAMA Carneol 5 l Kanister,5 l,"Grundpreis: 
                    35,43 €
                        /
                        L","177,15 €
                    / Stück"
ADAMA Exilis 100 XL 1 l Flasche,1 l,"Grundpreis: 
                    183,56 €
                        /
                        L","183,56 €
                    / Stück"
ADAMA Folpan 500 SC 5 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA Folpan 80 WDG 5 kg Sack,N/A,N/A,Preis auf Anfrage
ADAMA Fox 5 l Kanister,5 l,"Grundpreis: 
                    38,88 €
                        /
                        L","194,40 €
                    / Stück"
ADAMA Fuego 10 l Kanister,10 l,"Grundpreis: 
                    27,93 €
                        /
                        L","279,30 €
                    / Stück"
ADAMA Fuego Top 10 l Kanister,10 l,"Grundpreis: 
                    42,72 €
                        /
                        L","427,20 €
                    / Stück"
ADAMA Goltix Gold 5 l Kanister,5 l,"Grundpreis: 
                    22,03 €
                        /
                        L","110,15 €
                    / Stück"
ADAMA Goltix Titan 10 l Kanister,10 l,"Grundpreis: 
                    36,02 €
                        /
                        L","360,20 €
                    / Stück"
"ADAMA Goltix Titan Belvedere 17,5 l VK-Set","17,5 l","Grundpreis: 
                    35,09 €
                        /
                        L","614,00 €
                    / Stück"
ADAMA Hasten 5 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA Herold SC 1 l Flasche,N/A,N/A,Preis auf Anfrage
"ADAMA Kudos 2,5 kg Sack","2,5 kg","Grundpreis: 
                    167,41 €
                        /
                        KG","418,53 €
                    / Stück"
ADAMA Magnello 5 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA Mavrik Vita,N/A,N/A,"ab 75,41 €
                    / Stück"
ADAMA Merpan 80 WDG 5 kg Sack,N/A,N/A,Preis auf Anfrage
ADAMA Nimrod EC 1 l Flasche,1 l,"Grundpreis: 
                    58,66 €
                        /
                        L","58,66 €
                    / Flasche"
ADAMA Novagib 1 l Flasche,"2 St,","Grundpreis: 
                    123,81 €
                        /
                        L","123,81 €
                    / Stück"
ADAMA Pronto Plus 5 l Kanister,5 l,"Grundpreis: 
                    33,84 €
                        /
                        L","169,20 €
                    / Stück"
ADAMA Score,N/A,N/A,"ab 98,75 €
                    / Stück"
ADAMA Taifun forte 20 l Kanister,20 l,"Grundpreis: 
                    6,25 €
                        /
                        L","125,00 €
                    / Stück"
ADAMA Tomigan 200,N/A,N/A,"ab 27,39 €
                    / Stück"
ADAMA Tomigan XL 5 l Kanister,N/A,N/A,Preis auf Anfrage
ADAMA TOPREX,N/A,N/A,"ab 80,49 €
                    / Stück"
ADAMA Trinity 10 l Kanister,10 l,"Grundpreis: 
                    22,11 €
                        /
                        L","221,10 €
                    / Stück"
ADAMA Veriphos 10 l Kanister,10 l,"Grundpreis: 
                    10,75 €
                        /
                        L","107,50 €
                    / Kanister"
"ADAMA ZINGIS MERO 11,45 l VK-Set",N/A,N/A,Preis auf Anfrage
Adhäsit 10 l Kanister,N/A,N/A,Preis auf Anfrage
Agria S.A. OMIX DUO 10 l Kanister,N/A,N/A,Preis auf Anfrage
Agroclean 1 kg Dose,1 kg,"Grundpreis: 
                    62,76 €
                        /
                        KG","62,76 €
                    / Stück"
Aktuan 5 kg Sack,N/A,N/A,Preis auf Anfrage
Albough Barracuda 5 l Kanister,N/A,N/A,Preis auf Anfrage
Albough Diagonal 5 l Kanister,N/A,N/A,Preis auf Anfrage
ALKIR 1 l Flasche,N/A,N/A,Preis auf Anfrage
All Clear Extra 5 l Kanister,N/A,N/A,Preis auf Anfrage
Alzchem BREAK-THRU S 301,N/A,N/A,"ab 809,60 €
                    / Stück"
Alzchem BREAK-THRU® SP 133,N/A,N/A,"ab 164,30 €
                    / Stück"
AMBARAC 5 l Kanister,N/A,N/A,Preis auf Anfrage
amynova polymers GmbH CROPCOVER CC-2000 20 l Kanister,20 l,"Grundpreis: 
                    11,62 €
                        /
                        L","232,40 €
                    / Kanister"
Arigo (2023) 2 l VK-Set,N/A,N/A,Preis auf Anfrage
Arigo 6 l VK-Set,N/A,N/A,Preis auf Anfrage
Artus,N/A,N/A,
AURELIA 5 l Kanister,N/A,N/A,Preis auf Anfrage
Aurora 500 g Flasche,N/A,N/A,Preis auf Anfrage
BASF Architect + Turbo 15 l VK-Set,N/A,N/A,Preis auf Anfrage
BASF Balaya,N/A,N/A,"ab 568,00 €
                    / Stück"
BASF Bellis,N/A,N/A,"ab 438,00 €
                    / Stück"
BASF Butisan 5 l Kanister,N/A,N/A,Preis auf Anfrage
BASF Butisan Kombi 5 l Kanister,5 l,"Grundpreis: 
                    30,05 €
                        /
                        L","150,25 €
                    / Kanister"
BASF Cantus,N/A,N/A,"ab 143,31 €
                    / Stück"
BASF Carax 5 l Kanister,5 l,"Grundpreis: 
                    44,26 €
                        /
                        L","221,30 €
                    / Stück"
BASF Clearfield-Clentiga 10 l VK-Set,N/A,N/A,Preis auf Anfrage
