Handelsbezeichnung,Grundpreis,Gebindepreis
"1,4 Sight","225,19 € / l","2.251,90 € pro 10 l Kanister"
Abran,"14,28 € / l","71,40 € pro 5 l Kanister"
Access,"4,43 € / l","44,30 € pro 10 l Kanister"
Accurate,"250,00 € / kg","25,00 € pro 0.1 Stück"
Afrasa Triple WG,"17,41 € / kg","104,46 € pro 6 Stück"
Agil-S,"22,14 € / l","221,40 € pro 10 l Kanister"
Agrar-Öl,"4,61 € / l","92,20 € pro 20 l Kanister"
Agroclean Hochwirksamer Spritzenreiniger,"50,16 € / kg","50,16 € pro 1 Stück"
Agrotop Messbecher Quick Check,"35,84 € / St","35,84 € pro 1 Stück"
Agrotop Messzylinder,"70,57 € / St","70,57 € pro 1 Stück"
Agrotop Messzylinder,"47,58 € / St","47,58 € pro 1 Stück"
Aliette WG,"15,04 € / kg","90,24 € pro 6 Stück"
Alliance,"211,32 € / kg","211,32 € pro 1 Stück"
Allstar,"134,52 € / l","672,60 € pro 5 l Kanister"
Altivate 6 WG,"43,21 € / kg","216,05 € pro 5 kg Pack"
Alustreifen,"14,78 € / St","14,78 € pro 1 Stück"
Amistar Gold,"24,12 € / l","120,60 € pro 5 l Kanister"
Amistar Max,"15,06 € / l","75,30 € pro 5 l Kanister"
Angelus,"40,07 € / l","200,35 € pro 5 l Kanister"
Antarktis,"13,85 € / l","69,25 € pro 5 l Kanister"
ARAG Düse,"54,48 € / St","54,48 € pro 1 Stück"
ARAG Schaummarkierer,"705,85 € / St","705,85 € pro 1 Stück"
ARAG Schaummarkierer-Satz,"705,85 € / St","705,85 € pro 1 Stück"
ARAG Schaummittelkonzentrat,"48,30 € / St","48,30 € pro 1 Stück"
ARAG Schaummittelkonzentrat,"157,96 € / St","157,96 € pro 1 Stück"
Architect + Turbo,"16,24 € / l","243,60 € pro 15 l Pack"
Ariane C,"25,95 € / l","389,25 € pro 15 l Kanister"
Arigo,"83,79 € / kg","502,74 € pro 6 kg Pack"
Arinex 30,"4,46 € / kg","89,20 € pro 20 kg Sack"
Ärmelschürze Pflanzenschutz,"41,83 € / St","41,83 € pro 1 Stück"
Artist,Preis auf Anfrage,
Artus,"497,73 € / kg","1.244,33 € pro 2.5 Stück"
Ascra Xpro,"46,69 € / l","700,35 € pro 15 l Kanister"
Askon,"56,45 € / l","282,25 € pro 5 l Kanister"
"ASPÖCK Leuchte, weiß","31,79 € / St","31,79 € pro 1 Stück"
Atlantis Flex + Biopower,"45,18 € / kg","293,67 € pro 6.5 kg Pack"
ATR Spritzenreiniger,"22,64 € / l","113,20 € pro 5 l Kanister"
Attribut,"511,47 € / kg","153,44 € pro 0.3 Stück"
Aurelia,"14,28 € / l","71,40 € pro 5 l Kanister"
Aurora,"351,20 € / kg","35,12 € pro 0.1 Stück"
Auxo Plus Pack,"27,40 € / l","313,73 € pro 11.45 l Pack"
Avastel Pack,"24,17 € / l","362,55 € pro 15 l Pack"
Avoxa,"30,72 € / l","153,60 € pro 5 l Kanister"
Axial 50,"40,33 € / l","806,60 € pro 20 l Kanister"
Axial Komplett,"37,43 € / l","187,15 € pro 5 l Kanister"
Balaya,"43,23 € / l","432,30 € pro 10 l Kanister"
Balaya + Morex,"33,85 € / l","565,30 € pro 16.7 l Pack"
Bandur,"17,63 € / l","88,15 € pro 5 l Kanister"
Barclay Gallup Biograde 450,"6,89 € / l","137,80 € pro 20 l Kanister"
BarclayGallupBiograde 360,"5,05 € / l","101,00 € pro 20 l Kanister"
BarclayGallupHi-Aktiv,"7,50 € / l","150,00 € pro 20 l Kanister"
Baruka 50 EC,"8,62 € / l","43,10 € pro 5 l Kanister"
Basilico,"13,78 € / l","68,90 € pro 5 l Kanister"
BAT Pro Schaumfrei,"33,06 € / l","33,06 € pro 1 l Flasche"
BAT Pro Spritzenreiniger,"19,60 € / l","98,00 € pro 5 l Kanister"
Battle Delta,"70,00 € / l","350,00 € pro 5 l Kanister"
BeFlex,"52,56 € / l","262,80 € pro 5 l Kanister"
Belanty,"18,20 € / l","91,00 € pro 5 l Kanister"
Belkar Power Pack,"104,50 € / l","1.567,50 € pro 15 l Pack"
Bellis,"69,21 € / kg","346,05 € pro 5 Stück"
Beloukha,"20,49 € / l","204,90 € pro 10 l Kanister"
Belvedere Duo,"28,29 € / l","141,45 € pro 5 l Kanister"
Betanal Tandem Pack,"14,19 € / l","141,90 € pro 10 l Pack"
Betasana Perfekt Pack,"13,19 € / l","263,80 € pro 20 l Pack"
Betasana SC,"12,48 € / l","62,40 € pro 5 l Kanister"
Biathlon 4D Pack,"28,35 € / kg","455,02 € pro 16.05 kg Pack"
Biotrinsic i30 duo FP,"1.950,00 € / kg","97,50 € pro 0.05 Stück"
BIOX-M,"68,00 € / l","1.360,00 € pro 20 l Kanister"
Bolt,"14,28 € / l","71,40 € pro 5 l Kanister"
Boom efekt,"5,05 € / l","101,00 € pro 20 l Kanister"
Boscalid 500 WG,"73,00 € / kg","182,50 € pro 2.5 Stück"
Botiga,"34,09 € / l","170,45 € pro 5 l Kanister"
Boudha,"630,94 € / kg","315,47 € pro 0.5 Stück"
Boxer,"6,91 € / l","138,20 € pro 20 l Kanister"
Boxer Sencor liquid Pack,"11,06 € / l","188,02 € pro 17 l Pack"
Broadway + FHS,"39,92 € / kg","239,52 € pro 6 kg Pack"
Broadway Plus + FHS,"44,24 € / kg","234,47 € pro 5.3 kg Pack"
Bulldock Top,"33,00 € / kg","99,00 € pro 3 Stück"
Butisan Gold,"35,91 € / l","359,10 € pro 10 l Kanister"
Butisan Kombi,"23,49 € / l","117,45 € pro 5 l Kanister"
Butisan Top,"31,75 € / l","158,75 € pro 5 l Kanister"
Calaris,"26,91 € / l","134,55 € pro 5 l Kanister"
Callisto,"16,82 € / l","84,10 € pro 5 l Kanister"
Callisto P Flexx,"47,52 € / l","338,34 € pro 7.12 l Pack"
Calma,"24,47 € / l","122,35 € pro 5 l Kanister"
Caluma,"12,65 € / l","63,25 € pro 5 l Kanister"
Camposan Top,"25,40 € / l","127,00 € pro 5 l Kanister"
Cantus Ultra,"53,85 € / l","269,25 € pro 5 l Kanister"
Carax,"33,83 € / l","169,15 € pro 5 l Kanister"
Carial Flex,"52,80 € / kg","264,00 € pro 5 Stück"
Carmina 640,"16,16 € / l","161,60 € pro 10 l Kanister"
Carmina Complett,"23,29 € / l","243,01 € pro 10.434 l Pack"
Carnadine,"71,63 € / l","358,15 € pro 5 l Kanister"
Carnadine 200,"71,63 € / l","358,15 € pro 5 l Kanister"
Carpatus SC,"70,00 € / l","350,00 € pro 5 l Kanister"
Cato,"124,15 € / l","434,53 € pro 3.5 l Pack"
CCC 720,"3,66 € / l","36,60 € pro 10 l Kanister"
Centium 36 CS,"138,72 € / l","416,16 € pro 3 l Kanister"
Cerone 660,"24,49 € / l","122,45 € pro 5 l Kanister"
Chorus,"92,74 € / kg","92,74 € pro 1 Stück"
Clap,"89,00 € / l","445,00 € pro 5 l Kanister"
Clayton Docker,"45,54 € / l","227,70 € pro 5 l Kanister"
Cleanshot,"185,22 € / kg","92,61 € pro 0.5 Stück"
Clearfield-Clentiga,"28,70 € / l","287,00 € pro 10 l Pack"
Clematis,"39,66 € / l","198,30 € pro 5 l Kanister"
Clomazone 360 CS,"41,52 € / l","207,60 € pro 5 l Kanister"
Clyde FX,"11,92 € / l","59,60 € pro 5 l Kanister"
Colzor Trio,"20,95 € / l","419,00 € pro 20 l Kanister"
Colzor Uno Flex,"13,16 € / l","131,60 € pro 10 l Kanister"
Compola,"12,21 € / l","122,10 € pro 10 l Kanister"
Compola Addition Pack,"14,25 € / l","285,00 € pro 20 l Pack"
Concert SX,"213,61 € / kg","961,25 € pro 4.5 Stück"
Coragen,"302,24 € / l","1.511,20 € pro 5 l Kanister"
Countdown NT,"29,99 € / l","149,95 € pro 5 l Kanister"
Croupier OD,"44,00 € / l","220,00 € pro 5 l Kanister"
Cuprozin Progress,"34,40 € / l","172,00 € pro 5 l Kanister"
Curzate 60 WG,"50,26 € / kg","75,39 € pro 1.5 Stück"
Cyperkill Max,"46,84 € / l","234,20 € pro 5 l Kanister"
Daneva,"12,20 € / l","61,00 € pro 5 l Kanister"
Danjiri,"75,76 € / kg","378,80 € pro 5 kg Kanister"
Darby,"12,27 € / l","61,35 € pro 5 l Kanister"
Decis forte,"64,64 € / l","323,20 € pro 5 l Kanister"
Dedevap plus,"129,96 € / l","64,98 € pro 0.5 Stück"
Delan Pro,"14,15 € / l","141,50 € pro 10 l Kanister"
Delan WG,"50,15 € / kg","250,75 € pro 5 Stück"
Delaro Forte,"28,33 € / l","141,65 € pro 5 l Kanister"
Diadem,"60,52 € / l","302,60 € pro 5 l Kanister"
Diagonal Komplett,"13,20 € / l","66,00 € pro 5 l Kanister"
Diflanil 500 SC,"30,44 € / l","152,20 € pro 5 l Kanister"
Diniro,"27,32 € / l","262,27 € pro 9.6 l Pack"
Dirigent SX,"517,22 € / kg","517,22 € pro 1 Stück"
Domark 10 EC,"16,00 € / l","80,00 € pro 5 l Kanister"
Dragster+Vivolt,"54,80 € / kg","117,27 € pro 2.14 kg Pack"
Duplosan DP,"18,24 € / l","182,40 € pro 10 l Kanister"
Duplosan Super,"14,24 € / l","142,40 € pro 10 l Kanister"
Dynali,"43,63 € / l","218,15 € pro 5 l Kanister"
e-breathe Partikelfilter,"22,61 € / St","22,61 € pro 1 Stück"
Einweganzug,"53,32 € / St","53,32 € pro 1 Stück"
Einwegschutzanzug Tomtex,"45,28 € / St","45,28 € pro 1 Stück"
Elatus Era,"61,54 € / l","267,45 € pro 5 l Kanister"
Elatus Era Folpan,"27,67 € / l","345,88 € pro 12.5 l Pack"
