"Handelsbezeichnung","Grundpreis","Grundpreis_Einheit","Gebindepreis","Gebinde","Gebindegröße","Gebindegröße_Einheit"
"1.4 Sight","230.00","l","2,300.00","10 l","10","l"
"Access","4.70","l","47.00","10 l","10","l"
"Accurate","290.00","kg","29.00","0.1 kg","0.1","kg"
"Activus SC","18.50","l","185.00","10 l","10","l"
"Adengo",NA,NA,"137.00","N/A",NA,NA
"Adhäsit","13.70","l","137.00","10 l","10","l"
"AFINTO","230.00","kg","115.00","0.5 kg","0.5","kg"
"AGIL-S","24.20","l","121.00","5 l","5","l"
"Agro-Quick (5l)","10.60","l","53.00","5 l","5","l"
"Agroclean (1kg)",NA,NA,"55.00","N/A",NA,NA
"Aliette WG","16.17","kg","97.00","6 kg","6","kg"
"Alkir",NA,NA,"39.00","N/A",NA,NA
"All Clear Extra","14.40","l","72.00","5 l","5","l"
"Alliance","240.00","kg","60.00","0.25 kg","0.25","kg"
"Allstar","132.00","l","660.00","5 l","5","l"
"Amistar Gold (5l)","24.80","l","124.00","5 l","5","l"
"Amistar Max","15.80","l","79.00","5 l","5","l"
"Angelus",NA,NA,"47.00","N/A",NA,NA
"Argos","23.60","l","472.00","20 l","20","l"
"Arigo",NA,NA,"175.00","N/A",NA,NA
"Arinex 30","3.95","kg","79.00","20 kg","20","kg"
"Artus","604.00","kg","151.00","0.25 kg","0.25","kg"
"Ascra Xpro","45.40","l","227.00","5 l","5","l"
"Askon (5l)","56.80","l","284.00","5 l","5","l"
"ATAPHOS-K","8.90","l","89.00","10 l","10","l"
"Atlantis Flex + Biopower",NA,NA,"300.00","N/A",NA,NA
"Attracap","15.27","kg","229.00","15 kg","15","kg"
"Attribut","526.67","kg","158.00","0.3 kg","0.3","kg"
"Aurora","410.00","kg","41.00","0.1 kg","0.1","kg"
"AVASTEL Pack",NA,NA,"377.00","N/A",NA,NA
"Avoxa","32.20","l","161.00","5 l","5","l"
"Axial 50","43.40","l","217.00","5 l","5","l"
"Axial Komplett","38.40","l","192.00","5 l","5","l"
"Azbany","14.40","l","72.00","5 l","5","l"
"Balaya","44.80","l","224.00","5 l","5","l"
"Bandur","19.80","l","99.00","5 l","5","l"
"Bariton","28.18","l","5,636.00","200 l","200","l"
"Basamid Granulat","9.45","kg","189.00","20 kg","20","kg"
"Battle Delta","62.00","l","310.00","5 l","5","l"
"BeFlex","52.80","l","264.00","5 l","5","l"
"Belanty","19.00","l","96.00","5 l","5","l"
"Belkar",NA,NA,"145.00","N/A",NA,NA
"Belouhka","18.80","l","188.00","10 l","10","l"
"Belvedere Duo","30.20","l","151.00","5 l","5","l"
"Benevia",NA,NA,"204.00","N/A",NA,NA
"Betanal Tandem Pack",NA,NA,"153.00","N/A",NA,NA
"Betasana Perfekt Pack (3x5+1x5)",NA,NA,"264.00","N/A",NA,NA
"Betasana SC (5l)","14.00","l","70.00","5 l","5","l"
"Bigalo","65.60","kg","164.00","2.5 kg","2.5","kg"
"Blossom Protect","68.00","l","102.00","1.5 l","1.5","l"
"Bokator","27.40","l","137.00","5 l","5","l"
"Bonzi (1l)",NA,NA,"109.00","N/A",NA,NA
"Boom efekt",NA,NA,"14.00","N/A",NA,NA
