"Handelsbezeichnung","Grundpreis","Grundpreis_Einheit","Gebinde_info","Gebindepreis","Gebinde","Gebindegröße","Gebindegröße_Einheit"
"Access 10 l Kanister","6.18","l","61.80/Kanister","61.80","10 l","10","l"
"ADAMA Activus SC 10 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Agil-S",NA,NA,"ab 33.70/Stück",NA,"N/A",NA,NA
"ADAMA Agro-Quick 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Avastel 15 l VK-Set für den sicheren Schutz vor Pilzkrankheiten",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Belvedere Duo 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Brevis 1 kg Sack","296.12","kg","296.12/Stück","296.12","1 kg","1","kg"
"ADAMA Carneol 5 l Kanister","35.43","l","177.15/Stück","177.15","5 l","5","l"
"ADAMA Exilis 100 XL 1 l Flasche","183.56","l","183.56/Stück","183.56","1 l","1","l"
"ADAMA Folpan 500 SC 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Folpan 80 WDG 5 kg Sack",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Fox 5 l Kanister","38.88","l","194.40/Stück","194.40","5 l","5","l"
"ADAMA Fuego 10 l Kanister","27.93","l","279.30/Stück","279.30","10 l","10","l"
"ADAMA Fuego Top 10 l Kanister","42.72","l","427.20/Stück","427.20","10 l","10","l"
"ADAMA Goltix Gold 5 l Kanister","22.03","l","110.15/Stück","110.15","5 l","5","l"
"ADAMA Goltix Titan 10 l Kanister","36.02","l","360.20/Stück","360.20","10 l","10","l"
"ADAMA Goltix Titan Belvedere 17,5 l VK-Set","35.09","l","614.00/Stück","614.00","17.5 l","17.5","l"
"ADAMA Hasten 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Herold SC 1 l Flasche",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Kudos 2,5 kg Sack","167.41","kg","418.53/Stück","418.53","2.5 kg","2.5","kg"
"ADAMA Magnello 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Mavrik Vita",NA,NA,"ab 75.41/Stück",NA,"N/A",NA,NA
"ADAMA Merpan 80 WDG 5 kg Sack",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA Nimrod EC 1 l Flasche","58.66","l","58.66/Flasche","58.66","1 l","1","l"
"ADAMA Novagib 1 l Flasche","123.81","l","123.81/Stück","123.81","2 St.","2","St."
"ADAMA Pronto Plus 5 l Kanister","33.84","l","169.20/Stück","169.20","5 l","5","l"
"ADAMA Score",NA,NA,"ab 98.75/Stück",NA,"N/A",NA,NA
"ADAMA Taifun forte 20 l Kanister","6.25","l","125.00/Stück","125.00","20 l","20","l"
"ADAMA Tomigan 200",NA,NA,"ab 27.39/Stück",NA,"N/A",NA,NA
"ADAMA Tomigan XL 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ADAMA TOPREX",NA,NA,"ab 80.49/Stück",NA,"N/A",NA,NA
"ADAMA Trinity 10 l Kanister","22.11","l","221.10/Stück","221.10","10 l","10","l"
"ADAMA Veriphos 10 l Kanister","10.75","l","107.50/Kanister","107.50","10 l","10","l"
"ADAMA ZINGIS MERO 11,45 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Adhäsit 10 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Agria S.A. OMIX DUO 10 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Agroclean 1 kg Dose","62.76","kg","62.76/Stück","62.76","1 kg","1","kg"
"Aktuan 5 kg Sack",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Albough Barracuda 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Albough Diagonal 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"ALKIR 1 l Flasche",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"All Clear Extra 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Alzchem BREAK-THRU S 301",NA,NA,"ab 809.60/Stück",NA,"N/A",NA,NA
"Alzchem BREAK-THRU® SP 133",NA,NA,"ab 164.30/Stück",NA,"N/A",NA,NA
"AMBARAC 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"amynova polymers GmbH CROPCOVER CC-2000 20 l Kanister","11.62","l","232.40/Kanister","232.40","20 l","20","l"
"Arigo (2023) 2 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Arigo 6 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Artus",NA,NA,"",NA,"N/A",NA,NA
"AURELIA 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Aurora 500 g Flasche",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Architect + Turbo 15 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Balaya",NA,NA,"ab 568.00/Stück",NA,"N/A",NA,NA
"BASF Bellis",NA,NA,"ab 438.00/Stück",NA,"N/A",NA,NA
"BASF Butisan 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Butisan Kombi 5 l Kanister","30.05","l","150.25/Kanister","150.25","5 l","5","l"
"BASF Cantus",NA,NA,"ab 143.31/Stück",NA,"N/A",NA,NA
"BASF Carax 5 l Kanister","44.26","l","221.30/Stück","221.30","5 l","5","l"
"BASF Clearfield-Clentiga 10 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Collis 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Dagonis 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Delan Pro 10 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Enervin F 10 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Focus Aktiv 10 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Kumulus WG 25 kg Sack",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Medax Top + Turbo 10 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Prodax",NA,NA,"ab 172.89/Stück",NA,"N/A",NA,NA
"BASF Quirinus Forte 10 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Regalis Plus 1,5 kg Kanister","174.60","kg","261.90/Stück","261.90","1.5 kg","1.5","kg"
"BASF Revystar + Priaxor 20 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Revytrex",NA,NA,"ab 551.20/Stück",NA,"N/A",NA,NA
"BASF Revytrex + Comet 20 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Sercadis 1 l Flasche","173.24","l","173.24/Flasche","173.24","1 l","1","l"
"BASF Serifel 0,5 kg Flasche",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Signum 5 kg Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Spectrum 5 l Kanister","44.41","l","222.05/Stück","222.05","5 l","5","l"
"BASF Spectrum Gold 10 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Spectrum Plus 10 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Stomp Aqua 10 l Kanister","25.05","l","250.50/Stück","250.50","10 l","10","l"
"BASF Storm Ultra Happen 3 kg Eimer","23.24","kg","69.72/Eimer","69.72","3 kg","3","kg"
"BASF Storm Ultra Secure 3 kg Eimer",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Tanaris 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"BASF Tessior",NA,NA,"ab 17.81/Stück",NA,"N/A",NA,NA
"BASF Vivando 5 l Kanister","106.10","l","530.50/Stück","530.50","5 l","5","l"
"BASF Vizura",NA,NA,"ab 133.60/Stück",NA,"N/A",NA,NA
"Bayer Adengo",NA,NA,"ab 173.38/Flasche",NA,"N/A",NA,NA
"Bayer Agolin Forte 8,7 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Aliette WG 6 kg Sack",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Artist 5 kg Karton",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Ascra Xpro",NA,NA,"ab 304.70/Kanister",NA,"N/A",NA,NA
"Bayer Atlantis Flex",NA,NA,"",NA,"N/A",NA,NA
"Bayer Attribut 300 g Flasche","664.37","kg","199.31/Stück","199.31","300 g","300","g"
"Bayer Aviator Xpro 5 l Kanister","78.90","l","394.50/Stück","394.50","5 l","5","l"
"Bayer Bandur",NA,NA,"ab 122.70/Stück",NA,"N/A",NA,NA
"Bayer Betanal Tandem Mero 10 l VK-Set",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer CCC720 10 l Kanister","5.49","l","54.90/Stück","54.90","10 l","10","l"
"Bayer Cerone 660",NA,NA,"ab 46.79/Stück",NA,"N/A",NA,NA
"Bayer Decis forte",NA,NA,"",NA,"N/A",NA,NA
"Bayer Ecana 5 l Kanister Fungizid gegen pilzliche Krankhetiserreger in Getreide und Winterraps",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Fandango 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Flipper 5 l Kanister","12.47","l","62.35/Stück","62.35","5 l","5","l"
"Bayer Folicur",NA,NA,"ab 36.79/Stück",NA,"N/A",NA,NA
"Bayer GramFix 15 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer HORIZON 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Husar Plus",NA,NA,"",NA,"N/A",NA,NA
"Bayer Incelo Komplett 7 kg VK-Set zur Bekämpfung von Ungräsern/Unkräutern in Winterweizen/Wintertriticale",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Infinito",NA,NA,"",NA,"N/A",NA,NA
"Bayer Input Classic",NA,NA,"ab 250.40/Stück",NA,"N/A",NA,NA
"Bayer Input Triple 5 l Kanister","57.35","l","286.75/Stück","286.75","5 l","5","l"
"Bayer Laudis 5 l Kanister",NA,NA,"Preis auf Anfrage",NA,"N/A",NA,NA
"Bayer Luna Experience",NA,NA,"",NA,"N/A",NA,NA
"Bayer Luna Max",NA,NA,"ab 39.01/Stück",NA,"N/A",NA,NA
"Bayer Luna Sensation",NA,NA,"",NA,"N/A",NA,NA
"Bayer MaisTer power",NA,NA,"ab 562.90/Stück",NA,"N/A",NA,NA
"Bayer MaisTer power Aspect",NA,NA,"",NA,"N/A",NA,NA
