"Handelsbezeichnung","Grundpreis","Grundpreis_Einheit","Gebindepreis","Gebinde","Gebindegröße","Gebindegröße_Einheit"
"1,4 Sight","225.19","l","2,251.90","10 l Kanister","10","l"
"Abran","14.28","l","71.40","5 l Kanister","5","l"
"Access","4.43","l","44.30","10 l Kanister","10","l"
"Accurate","250.00","kg","25.00","0.1 Stück","0.1","Stück"
"Afrasa Triple WG","17.41","kg","104.46","6 Stück","6","Stück"
"Agil-S","22.14","l","221.40","10 l Kanister","10","l"
"Agrar-Öl","4.61","l","92.20","20 l Kanister","20","l"
"Agroclean Hochwirksamer Spritzenreiniger","50.16","kg","50.16","1 Stück","1","Stück"
"Agrotop Messbecher Quick Check","35.84","St","35.84","1 Stück","1","Stück"
"Agrotop Messzylinder","70.57","St","70.57","1 Stück","1","Stück"
"Agrotop Messzylinder","47.58","St","47.58","1 Stück","1","Stück"
"Aliette WG","15.04","kg","90.24","6 Stück","6","Stück"
"Alliance","211.32","kg","211.32","1 Stück","1","Stück"
"Allstar","134.52","l","672.60","5 l Kanister","5","l"
"Altivate 6 WG","43.21","kg","216.05","5 kg Pack","5","kg"
"Alustreifen","14.78","St","14.78","1 Stück","1","Stück"
"Amistar Gold","24.12","l","120.60","5 l Kanister","5","l"
"Amistar Max","15.06","l","75.30","5 l Kanister","5","l"
"Angelus","40.07","l","200.35","5 l Kanister","5","l"
"Antarktis","13.85","l","69.25","5 l Kanister","5","l"
"ARAG Düse","54.48","St","54.48","1 Stück","1","Stück"
"ARAG Schaummarkierer","705.85","St","705.85","1 Stück","1","Stück"
"ARAG Schaummarkierer-Satz","705.85","St","705.85","1 Stück","1","Stück"
"ARAG Schaummittelkonzentrat","48.30","St","48.30","1 Stück","1","Stück"
"ARAG Schaummittelkonzentrat","157.96","St","157.96","1 Stück","1","Stück"
"Architect + Turbo","16.24","l","243.60","15 l Pack","15","l"
"Ariane C","25.95","l","389.25","15 l Kanister","15","l"
"Arigo","83.79","kg","502.74","6 kg Pack","6","kg"
"Arinex 30","4.46","kg","89.20","20 kg Sack","20","kg"
"Ärmelschürze Pflanzenschutz","41.83","St","41.83","1 Stück","1","Stück"
"Artist","Preis auf Anfrage","Preis auf Anfrage",NA,NA,NA,NA
"Artus","497.73","kg","1,244.33","2.5 Stück","2.5","Stück"
"Ascra Xpro","46.69","l","700.35","15 l Kanister","15","l"
"Askon","56.45","l","282.25","5 l Kanister","5","l"
"ASPÖCK Leuchte, weiß","31.79","St","31.79","1 Stück","1","Stück"
"Atlantis Flex + Biopower","45.18","kg","293.67","6.5 kg Pack","6.5","kg"
"ATR Spritzenreiniger","22.64","l","113.20","5 l Kanister","5","l"
"Attribut","511.47","kg","153.44","0.3 Stück","0.3","Stück"
"Aurelia","14.28","l","71.40","5 l Kanister","5","l"
"Aurora","351.20","kg","35.12","0.1 Stück","0.1","Stück"
"Auxo Plus Pack","27.40","l","313.73","11.45 l Pack","11.45","l"
"Avastel Pack","24.17","l","362.55","15 l Pack","15","l"
"Avoxa","30.72","l","153.60","5 l Kanister","5","l"
"Axial 50","40.33","l","806.60","20 l Kanister","20","l"
"Axial Komplett","37.43","l","187.15","5 l Kanister","5","l"
"Balaya","43.23","l","432.30","10 l Kanister","10","l"
"Balaya + Morex","33.85","l","565.30","16.7 l Pack","16.7","l"
"Bandur","17.63","l","88.15","5 l Kanister","5","l"
"Barclay Gallup Biograde 450","6.89","l","137.80","20 l Kanister","20","l"
"BarclayGallupBiograde 360","5.05","l","101.00","20 l Kanister","20","l"
"BarclayGallupHi-Aktiv","7.50","l","150.00","20 l Kanister","20","l"
"Baruka 50 EC","8.62","l","43.10","5 l Kanister","5","l"
"Basilico","13.78","l","68.90","5 l Kanister","5","l"
"BAT Pro Schaumfrei","33.06","l","33.06","1 l Flasche","1","l"
"BAT Pro Spritzenreiniger","19.60","l","98.00","5 l Kanister","5","l"
"Battle Delta","70.00","l","350.00","5 l Kanister","5","l"
"BeFlex","52.56","l","262.80","5 l Kanister","5","l"
"Belanty","18.20","l","91.00","5 l Kanister","5","l"
"Belkar Power Pack","104.50","l","1,567.50","15 l Pack","15","l"
"Bellis","69.21","kg","346.05","5 Stück","5","Stück"
"Beloukha","20.49","l","204.90","10 l Kanister","10","l"
"Belvedere Duo","28.29","l","141.45","5 l Kanister","5","l"
"Betanal Tandem Pack","14.19","l","141.90","10 l Pack","10","l"
"Betasana Perfekt Pack","13.19","l","263.80","20 l Pack","20","l"
"Betasana SC","12.48","l","62.40","5 l Kanister","5","l"
"Biathlon 4D Pack","28.35","kg","455.02","16.05 kg Pack","16.05","kg"
"Biotrinsic i30 duo FP","1,950.00","kg","97.50","0.05 Stück","0.05","Stück"
"BIOX-M","68.00","l","1,360.00","20 l Kanister","20","l"
"Bolt","14.28","l","71.40","5 l Kanister","5","l"
"Boom efekt","5.05","l","101.00","20 l Kanister","20","l"
"Boscalid 500 WG","73.00","kg","182.50","2.5 Stück","2.5","Stück"
"Botiga","34.09","l","170.45","5 l Kanister","5","l"
"Boudha","630.94","kg","315.47","0.5 Stück","0.5","Stück"
"Boxer","6.91","l","138.20","20 l Kanister","20","l"
"Boxer Sencor liquid Pack","11.06","l","188.02","17 l Pack","17","l"
"Broadway + FHS","39.92","kg","239.52","6 kg Pack","6","kg"
"Broadway Plus + FHS","44.24","kg","234.47","5.3 kg Pack","5.3","kg"
"Bulldock Top","33.00","kg","99.00","3 Stück","3","Stück"
"Butisan Gold","35.91","l","359.10","10 l Kanister","10","l"
"Butisan Kombi","23.49","l","117.45","5 l Kanister","5","l"
"Butisan Top","31.75","l","158.75","5 l Kanister","5","l"
"Calaris","26.91","l","134.55","5 l Kanister","5","l"
"Callisto","16.82","l","84.10","5 l Kanister","5","l"
"Callisto P Flexx","47.52","l","338.34","7.12 l Pack","7.12","l"
"Calma","24.47","l","122.35","5 l Kanister","5","l"
"Caluma","12.65","l","63.25","5 l Kanister","5","l"
"Camposan Top","25.40","l","127.00","5 l Kanister","5","l"
"Cantus Ultra","53.85","l","269.25","5 l Kanister","5","l"
"Carax","33.83","l","169.15","5 l Kanister","5","l"
"Carial Flex","52.80","kg","264.00","5 Stück","5","Stück"
"Carmina 640","16.16","l","161.60","10 l Kanister","10","l"
"Carmina Complett","23.29","l","243.01","10.434 l Pack","10.434","l"
"Carnadine","71.63","l","358.15","5 l Kanister","5","l"
"Carnadine 200","71.63","l","358.15","5 l Kanister","5","l"
"Carpatus SC","70.00","l","350.00","5 l Kanister","5","l"
"Cato","124.15","l","434.53","3.5 l Pack","3.5","l"
"CCC 720","3.66","l","36.60","10 l Kanister","10","l"
"Centium 36 CS","138.72","l","416.16","3 l Kanister","3","l"
"Cerone 660","24.49","l","122.45","5 l Kanister","5","l"
"Chorus","92.74","kg","92.74","1 Stück","1","Stück"
"Clap","89.00","l","445.00","5 l Kanister","5","l"
"Clayton Docker","45.54","l","227.70","5 l Kanister","5","l"
"Cleanshot","185.22","kg","92.61","0.5 Stück","0.5","Stück"
"Clearfield-Clentiga","28.70","l","287.00","10 l Pack","10","l"
"Clematis","39.66","l","198.30","5 l Kanister","5","l"
"Clomazone 360 CS","41.52","l","207.60","5 l Kanister","5","l"
"Clyde FX","11.92","l","59.60","5 l Kanister","5","l"
"Colzor Trio","20.95","l","419.00","20 l Kanister","20","l"
"Colzor Uno Flex","13.16","l","131.60","10 l Kanister","10","l"
"Compola","12.21","l","122.10","10 l Kanister","10","l"
"Compola Addition Pack","14.25","l","285.00","20 l Pack","20","l"
"Concert SX","213.61","kg","961.25","4.5 Stück","4.5","Stück"
"Coragen","302.24","l","1,511.20","5 l Kanister","5","l"
"Countdown NT","29.99","l","149.95","5 l Kanister","5","l"
"Croupier OD","44.00","l","220.00","5 l Kanister","5","l"
"Cuprozin Progress","34.40","l","172.00","5 l Kanister","5","l"
"Curzate 60 WG","50.26","kg","75.39","1.5 Stück","1.5","Stück"
"Cyperkill Max","46.84","l","234.20","5 l Kanister","5","l"
"Daneva","12.20","l","61.00","5 l Kanister","5","l"
"Danjiri","75.76","kg","378.80","5 kg Kanister","5","kg"
"Darby","12.27","l","61.35","5 l Kanister","5","l"
"Decis forte","64.64","l","323.20","5 l Kanister","5","l"
"Dedevap plus","129.96","l","64.98","0.5 Stück","0.5","Stück"
"Delan Pro","14.15","l","141.50","10 l Kanister","10","l"
"Delan WG","50.15","kg","250.75","5 Stück","5","Stück"
"Delaro Forte","28.33","l","141.65","5 l Kanister","5","l"
"Diadem","60.52","l","302.60","5 l Kanister","5","l"
"Diagonal Komplett","13.20","l","66.00","5 l Kanister","5","l"
"Diflanil 500 SC","30.44","l","152.20","5 l Kanister","5","l"
"Diniro","27.32","l","262.27","9.6 l Pack","9.6","l"
"Dirigent SX","517.22","kg","517.22","1 Stück","1","Stück"
"Domark 10 EC","16.00","l","80.00","5 l Kanister","5","l"
"Dragster+Vivolt","54.80","kg","117.27","2.14 kg Pack","2.14","kg"
"Duplosan DP","18.24","l","182.40","10 l Kanister","10","l"
"Duplosan Super","14.24","l","142.40","10 l Kanister","10","l"
"Dynali","43.63","l","218.15","5 l Kanister","5","l"
"e-breathe Partikelfilter","22.61","St","22.61","1 Stück","1","Stück"
"Einweganzug","53.32","St","53.32","1 Stück","1","Stück"
"Einwegschutzanzug Tomtex","45.28","St","45.28","1 Stück","1","Stück"
"Elatus Era","61.54","l","267.45","5 l Kanister","5","l"
"Elatus Era Folpan","27.67","l","345.88","12.5 l Pack","12.5","l"
"Elatus Era Sympara","42.35","l","847.00","20 l Pack","20","l"
"Elatus Plus Plexeo","33.50","l","418.75","12.5 l Pack","12.5","l"
"Elektronischer Düsentester DigE-Check","440.06","St","440.06","1 Stück","1","Stück"
"Elumis P Pack","35.06","l","178.10","5.08 l Pack","5.08","l"
"Evure","53.28","l","266.40","5 l Kanister","5","l"
"Exirel®","187.81","l","187.81","1 l Flasche","1","l"
"Fabulis OD","21.90","l","219.00","10 l Kanister","10","l"
"Fence","66.00","l","330.00","5 l Kanister","5","l"
"Fence Addition Pack","29.90","l","598.00","20 l Pack","20","l"
"Ferrex Schnecken-Linsen","4.38","kg","109.50","25 kg Sack","25","kg"
"Finy","235.20","kg","23.52","0.1 Stück","0.1","Stück"
"Flexidor","227.29","l","227.29","1 l Flasche","1","l"
"Flexure","34.20","l","171.00","5 l Kanister","5","l"
"Flint","160.30","kg","160.30","1 Stück","1","Stück"
"Floramite 240 SC","443.02","l","443.02","1 l Flasche","1","l"
"Flua Power","20.73","l","103.65","5 l Kanister","5","l"
"Focus Aktiv","21.43","l","321.45","15 l Pack","15","l"
